iter	Passed	Remaining
0	113	11189
1	114	5628
2	117	3800
3	120	2885
4	122	2334
5	125	1969
6	128	1707
7	131	1509
8	134	1355
9	136	1230
10	139	1131
11	141	1035
12	143	961
13	146	899
14	148	844
15	151	796
16	154	754
17	157	715
18	159	680
19	162	648
20	164	620
21	167	593
22	169	568
23	172	546
24	175	525
25	177	506
26	180	488
27	183	471
28	185	455
29	188	439
30	191	425
31	193	411
32	196	398
33	198	385
34	201	373
35	203	362
36	206	351
37	208	340
38	211	331
39	214	321
40	216	312
41	219	302
42	221	294
43	224	285
44	226	277
45	229	269
46	232	261
47	234	254
48	236	246
49	239	239
50	242	232
51	244	225
52	247	219
53	249	212
54	251	205
55	254	199
56	257	193
57	259	187
58	262	182
59	264	176
60	266	170
61	269	164
62	271	159
63	274	154
64	276	148
65	279	143
66	281	138
67	283	133
68	286	128
69	288	123
70	291	119
71	293	114
72	296	109
73	298	104
74	301	100
75	303	95
76	306	91
77	309	87
78	311	82
79	314	78
80	316	74
81	319	70
82	321	65
83	324	61
84	326	57
85	329	53
86	331	49
87	334	45
88	336	41
89	339	37
90	341	33
91	344	29
92	346	26
93	349	22
94	351	18
95	354	14
96	356	11
97	359	7
98	361	3
99	364	0
